year,state,blood_type,donations
2011,Pahang,a,1950
2011,Pahang,ab,470
2011,Pahang,all,7458
2011,Pahang,b,2082
2011,Pahang,o,2956
2011,Perak,a,8170
2011,Perak,ab,2105
2011,Perak,all,32125
2011,Perak,b,8938
2011,Perak,o,12912
2011,Pulau Pinang,a,0
2011,Pulau Pinang,ab,0
2011,Pulau Pinang,all,0
2011,Pulau Pinang,b,0
2011,Pulau Pinang,o,0
2011,Sabah,a,4501
2011,Sabah,ab,1079
2011,Sabah,all,20253
2011,Sabah,b,4794
2011,Sabah,o,9879
2011,Sarawak,a,3990
2011,Sarawak,ab,1091
2011,Sarawak,all,16542
2011,Sarawak,b,4841
2011,Sarawak,o,6620
2011,Selangor,a,6441
2011,Selangor,ab,1716
2011,Selangor,all,25947
2011,Selangor,b,7208
2011,Selangor,o,10582
2011,Terengganu,a,3708
2011,Terengganu,ab,990
2011,Terengganu,all,14803
2011,Terengganu,b,4384
2011,Terengganu,o,5721
2011,W.P. Kuala Lumpur,a,40232
2011,W.P. Kuala Lumpur,ab,10595
2011,W.P. Kuala Lumpur,all,160551
2011,W.P. Kuala Lumpur,b,43511
2011,W.P. Kuala Lumpur,o,66206
2012,Johor,a,8642
2012,Johor,ab,1795
2012,Johor,all,34180
2012,Johor,b,9228
2012,Johor,o,14515
2012,Kedah,a,13610
2012,Kedah,ab,3783
2012,Kedah,all,53664
2012,Kedah,b,15184
2012,Kedah,o,21087
2012,Kelantan,a,2414
2012,Kelantan,ab,682
2012,Kelantan,all,9052
2012,Kelantan,b,2599
2012,Kelantan,o,3356
2012,Melaka,a,7076
2012,Melaka,ab,1838
2012,Melaka,all,27807
2012,Melaka,b,7442
2012,Melaka,o,11451
2012,Negeri Sembilan,a,3608
2012,Negeri Sembilan,ab,955
2012,Negeri Sembilan,all,14299
2012,Negeri Sembilan,b,3988
2012,Negeri Sembilan,o,5748
2012,Pahang,a,3180
2012,Pahang,ab,871
2012,Pahang,all,12587
2012,Pahang,b,3481
2012,Pahang,o,5055
2012,Perak,a,8572
2012,Perak,ab,2161
2012,Perak,all,33604
2012,Perak,b,9253
2012,Perak,o,13618
2012,Pulau Pinang,a,0
2012,Pulau Pinang,ab,0
2012,Pulau Pinang,all,0
2012,Pulau Pinang,b,0
2012,Pulau Pinang,o,0
2012,Sabah,a,4818
2012,Sabah,ab,1136
2012,Sabah,all,21333
2012,Sabah,b,5096
2012,Sabah,o,10283
2012,Sarawak,a,4160
2012,Sarawak,ab,1159
2012,Sarawak,all,17072
2012,Sarawak,b,4936
2012,Sarawak,o,6817
2012,Selangor,a,6149
2012,Selangor,ab,1573
2012,Selangor,all,24383
2012,Selangor,b,6812
2012,Selangor,o,9849
