state,type,date,staff
Sarawak,nurse_community,01/01/2014,3153
Sarawak,nurse_community,01/01/2015,2994
Sarawak,nurse_community,01/01/2016,3027
Sarawak,nurse_community,01/01/2017,2825
Sarawak,nurse_community,01/01/2018,2627
Sarawak,nurse_community,01/01/2019,2580
Sarawak,nurse_community,01/01/2020,2399
Sarawak,nurse_community,01/01/2021,2013
Sarawak,nurse_community,01/01/2022,2283
Selangor,dentist,01/01/2014,360
Selangor,dentist,01/01/2015,401
Selangor,dentist,01/01/2016,469
Selangor,dentist,01/01/2017,660
Selangor,dentist,01/01/2018,776
Selangor,dentist,01/01/2019,839
Selangor,dentist,01/01/2020,911
Selangor,dentist,01/01/2021,940
Selangor,dentist,01/01/2022,941
Selangor,doctor,01/01/2014,5040
Selangor,doctor,01/01/2015,5175
Selangor,doctor,01/01/2016,5646
Selangor,doctor,01/01/2017,7587
Selangor,doctor,01/01/2018,7881
Selangor,doctor,01/01/2019,8119
Selangor,doctor,01/01/2020,10063
Selangor,doctor,01/01/2021,9700
Selangor,doctor,01/01/2022,10374
Selangor,nurse,01/01/2014,7327
Selangor,nurse,01/01/2015,8183
Selangor,nurse,01/01/2016,8739
Selangor,nurse,01/01/2017,9086
Selangor,nurse,01/01/2018,9698
Selangor,nurse,01/01/2019,9200
Selangor,nurse,01/01/2020,3093
Selangor,nurse,01/01/2021,10116
Selangor,nurse,01/01/2022,10376
Selangor,nurse_community,01/01/2014,2723
Selangor,nurse_community,01/01/2015,2715
Selangor,nurse_community,01/01/2016,2656
Selangor,nurse_community,01/01/2017,2550
Selangor,nurse_community,01/01/2018,2527
Selangor,nurse_community,01/01/2019,2466
Selangor,nurse_community,01/01/2020,2394
Selangor,nurse_community,01/01/2021,2245
Selangor,nurse_community,01/01/2022,2318
Terengganu,dentist,01/01/2014,232
Terengganu,dentist,01/01/2015,261
Terengganu,dentist,01/01/2016,303
Terengganu,dentist,01/01/2017,370
Terengganu,dentist,01/01/2018,448
Terengganu,dentist,01/01/2019,493
Terengganu,dentist,01/01/2020,521
Terengganu,dentist,01/01/2021,550
Terengganu,dentist,01/01/2022,524
Terengganu,doctor,01/01/2014,1278
Terengganu,doctor,01/01/2015,1262
Terengganu,doctor,01/01/2016,1399
Terengganu,doctor,01/01/2017,1691
Terengganu,doctor,01/01/2018,1805
Terengganu,doctor,01/01/2019,1992
Terengganu,doctor,01/01/2020,2245
Terengganu,doctor,01/01/2021,2043
Terengganu,doctor,01/01/2022,2119
Terengganu,nurse,01/01/2014,2582
Terengganu,nurse,01/01/2015,2772
Terengganu,nurse,01/01/2016,2855
Terengganu,nurse,01/01/2017,2949
Terengganu,nurse,01/01/2018,2908
Terengganu,nurse,01/01/2019,2918
Terengganu,nurse,01/01/2020,7424
Terengganu,nurse,01/01/2021,3197
Terengganu,nurse,01/01/2022,3370
Terengganu,nurse_community,01/01/2014,1418
Terengganu,nurse_community,01/01/2015,1424
Terengganu,nurse_community,01/01/2016,1407
Terengganu,nurse_community,01/01/2017,1421
Terengganu,nurse_community,01/01/2018,1421
Terengganu,nurse_community,01/01/2019,1423
Terengganu,nurse_community,01/01/2020,1354
Terengganu,nurse_community,01/01/2021,1350
Terengganu,nurse_community,01/01/2022,1425
Kuala Lumpur,dentist,01/01/2014,482
KualaLumpur,dentist,01/01/2015,453
KualaLumpur,dentist,01/01/2016,497
KualaLumpur,dentist,01/01/2017,605
KualaLumpur,dentist,01/01/2018,650
KualaLumpur,dentist,01/01/2019,708
KualaLumpur,dentist,01/01/2020,754
KualaLumpur,dentist,01/01/2021,772
KualaLumpur,dentist,01/01/2022,854
KualaLumpur,doctor,01/01/2014,2772
KualaLumpur,doctor,01/01/2015,2480
KualaLumpur,doctor,01/01/2016,2870
KualaLumpur,doctor,01/01/2017,3745
KualaLumpur,doctor,01/01/2018,4738
KualaLumpur,doctor,01/01/2019,5593
KualaLumpur,doctor,01/01/2020,7054
KualaLumpur,doctor,01/01/2021,6967
KualaLumpur,doctor,01/01/2022,7331
KualaLumpur,nurse,01/01/2014,4392
KualaLumpur,nurse,01/01/2015,8621
KualaLumpur,nurse,01/01/2016,9052
KualaLumpur,nurse,01/01/2017,7740
KualaLumpur,nurse,01/01/2018,9261
KualaLumpur,nurse,01/01/2019,10261
KualaLumpur,nurse,01/01/2020,6959
KualaLumpur,nurse,01/01/2021,9772
KualaLumpur,nurse,01/01/2022,10170
KualaLumpur,nurse_community,01/01/2014,748
KualaLumpur,nurse_community,01/01/2015,724
KualaLumpur,nurse_community,01/01/2016,721
KualaLumpur,nurse_community,01/01/2017,612
KualaLumpur,nurse_community,01/01/2018,843
KualaLumpur,nurse_community,01/01/2019,737
KualaLumpur,nurse_community,01/01/2020,607
KualaLumpur,nurse_community,01/01/2021,534
KualaLumpur,nurse_community,01/01/2022,586
Labuan,dentist,01/01/2014,6
Labuan,dentist,01/01/2015,10
Labuan,dentist,01/01/2016,17
Labuan,dentist,01/01/2017,22
Labuan,dentist,01/01/2018,23
Labuan,dentist,01/01/2019,35
Labuan,dentist,01/01/2020,29
Labuan,dentist,01/01/2021,31
Labuan,dentist,01/01/2022,30
Labuan,doctor,01/01/2014,53
Labuan,doctor,01/01/2015,57
Labuan,doctor,01/01/2016,57
Labuan,doctor,01/01/2017,71
Labuan,doctor,01/01/2018,110
Labuan,doctor,01/01/2019,116
Labuan,doctor,01/01/2020,105
Labuan,doctor,01/01/2021,103
Labuan,doctor,01/01/2022,102
Labuan,nurse,01/01/2014,211
Labuan,nurse,01/01/2015,230
Labuan,nurse,01/01/2016,231
Labuan,nurse,01/01/2017,230
Labuan,nurse,01/01/2018,230
Labuan,nurse,01/01/2019,232
Labuan,nurse,01/01/2020,225
Labuan,nurse,01/01/2021,284
Labuan,nurse,01/01/2022,359
Labuan,nurse_community,01/01/2014,111
Labuan,nurse_community,01/01/2015,112
Labuan,nurse_community,01/01/2016,109
Labuan,nurse_community,01/01/2017,111
Labuan,nurse_community,01/01/2018,112
Labuan,nurse_community,01/01/2019,114
Labuan,nurse_community,01/01/2020,104
Labuan,nurse_community,01/01/2021,103
Labuan,nurse_community,01/01/2022,110
Putrajaya,dentist,01/01/2014,59
Putrajaya,dentist,01/01/2015,69
Putrajaya,dentist,01/01/2016,75
Putrajaya,dentist,01/01/2017,98
Putrajaya,dentist,01/01/2018,110
Putrajaya,dentist,01/01/2019,109
Putrajaya,dentist,01/01/2020,123
Putrajaya,dentist,01/01/2021,115
Putrajaya,dentist,01/01/2022,128
Putrajaya,doctor,01/01/2014,4373
Putrajaya,doctor,01/01/2015,4375
Putrajaya,doctor,01/01/2016,4449
Putrajaya,doctor,01/01/2017,4261
Putrajaya,doctor,01/01/2018,3776
Putrajaya,doctor,01/01/2019,5104
Putrajaya,doctor,01/01/2020,1383
Putrajaya,doctor,01/01/2021,1348
Putrajaya,doctor,01/01/2022,2023
Putrajaya,nurse,01/01/2014,2867
Putrajaya,nurse,01/01/2015,2952
Putrajaya,nurse,01/01/2016,2875
Putrajaya,nurse,01/01/2017,2312
Putrajaya,nurse,01/01/2018,1551
Putrajaya,nurse,01/01/2019,1675
Putrajaya,nurse,01/01/2020,1414
Putrajaya,nurse,01/01/2021,1471
Putrajaya,nurse,01/01/2022,1177
Putrajaya,nurse_community,01/01/2014,537
Putrajaya,nurse_community,01/01/2015,540
Putrajaya,nurse_community,01/01/2016,576
Putrajaya,nurse_community,01/01/2017,481
Putrajaya,nurse_community,01/01/2018,240
Putrajaya,nurse_community,01/01/2019,360
Putrajaya,nurse_community,01/01/2020,223
Putrajaya,nurse_community,01/01/2021,195
Putrajaya,nurse_community,01/01/2022,224
