state,year_month,pledges
Kelantan,2009-10-01,0
Kelantan,2009-11-01,4
Kelantan,2009-12-01,1
Kelantan,2010-01-01,8
Kelantan,2010-02-01,3
Kelantan,2010-03-01,17
Kelantan,2010-04-01,0
Kelantan,2010-05-01,0
Kelantan,2010-06-01,0
Kelantan,2010-07-01,6
Kelantan,2010-08-01,58
Kelantan,2010-09-01,8
Kelantan,2010-10-01,43
Kelantan,2010-11-01,16
Kelantan,2010-12-01,11
Kelantan,2011-01-01,29
Kelantan,2011-02-01,21
Kelantan,2011-03-01,58
Kelantan,2011-04-01,62
Kelantan,2011-05-01,11
Kelantan,2011-06-01,14
Kelantan,2011-07-01,14
Kelantan,2011-08-01,8
Kelantan,2011-09-01,11
Kelantan,2011-10-01,31
Kelantan,2011-11-01,17
Kelantan,2011-12-01,18
Kelantan,2012-01-01,9
Kelantan,2012-02-01,19
Kelantan,2012-03-01,52
Kelantan,2012-04-01,11
Kelantan,2012-05-01,74
Kelantan,2012-06-01,22
Kelantan,2012-07-01,17
Kelantan,2012-08-01,7
Kelantan,2012-09-01,46
Kelantan,2012-10-01,48
Kelantan,2012-11-01,45
Kelantan,2012-12-01,34
Kelantan,2013-01-01,24
Kelantan,2013-02-01,48
Kelantan,2013-03-01,39
Kelantan,2013-04-01,22
Kelantan,2013-05-01,38
Kelantan,2013-06-01,26
Kelantan,2013-07-01,9
Kelantan,2013-08-01,13
Kelantan,2013-09-01,12
Kelantan,2013-10-01,35
Kelantan,2013-11-01,35
Kelantan,2013-12-01,10
Kelantan,2014-01-01,15
Kelantan,2014-02-01,18
Kelantan,2014-03-01,87
Kelantan,2014-04-01,50
Kelantan,2014-05-01,52
Kelantan,2014-06-01,44
Kelantan,2014-07-01,20
Kelantan,2014-08-01,20
Kelantan,2014-09-01,33
Kelantan,2014-10-01,211
Kelantan,2014-11-01,51
Kelantan,2014-12-01,33
Kelantan,2015-01-01,70
Kelantan,2015-02-01,36
Kelantan,2015-03-01,88
Kelantan,2015-04-01,82
Kelantan,2015-05-01,73
Kelantan,2015-06-01,103
Kelantan,2015-07-01,28
Kelantan,2015-08-01,67
Kelantan,2015-09-01,80
Kelantan,2015-10-01,308
Kelantan,2015-11-01,76
Kelantan,2015-12-01,83
Kelantan,2016-01-01,53
Kelantan,2016-02-01,57
Kelantan,2016-03-01,56
Kelantan,2016-04-01,82
Kelantan,2016-05-01,86
Kelantan,2016-06-01,15
Kelantan,2016-07-01,22
Kelantan,2016-08-01,14
Kelantan,2016-09-01,37
Kelantan,2016-10-01,242
Kelantan,2016-11-01,59
Kelantan,2016-12-01,16
Kelantan,2017-01-01,19
Kelantan,2017-02-01,60
Kelantan,2017-03-01,67
Kelantan,2017-04-01,33
Kelantan,2017-05-01,40
Kelantan,2017-06-01,7
Kelantan,2017-07-01,13
Kelantan,2017-08-01,88
Kelantan,2017-09-01,87
Kelantan,2017-10-01,576
Kelantan,2017-11-01,230
Kelantan,2017-12-01,234
Kelantan,2018-01-01,35
Kelantan,2018-02-01,16
Kelantan,2018-03-01,25
Kelantan,2018-04-01,31
Kelantan,2018-05-01,11
Kelantan,2018-06-01,24
Kelantan,2018-07-01,8
Kelantan,2018-08-01,14
Kelantan,2018-09-01,2
Kelantan,2018-10-01,44
Kelantan,2018-11-01,8
Kelantan,2018-12-01,5
Kelantan,2019-01-01,17
Kelantan,2019-02-01,89
Kelantan,2019-03-01,51
Kelantan,2019-04-01,45
Kelantan,2019-05-01,13
Kelantan,2019-06-01,1
Kelantan,2019-07-01,9
Kelantan,2019-08-01,10
Kelantan,2019-09-01,25
Kelantan,2019-10-01,16
Kelantan,2019-11-01,15
Kelantan,2019-12-01,5
Kelantan,2020-01-01,12
Kelantan,2020-02-01,8
Kelantan,2020-03-01,2
Kelantan,2020-04-01,0
Kelantan,2020-05-01,3
Kelantan,2020-06-01,2
Kelantan,2020-07-01,0
Kelantan,2020-08-01,0
Kelantan,2020-09-01,8
Kelantan,2020-10-01,3
Kelantan,2020-11-01,1
Kelantan,2020-12-01,0
Kelantan,2021-01-01,2
Kelantan,2021-02-01,1
Kelantan,2021-03-01,2
Kelantan,2021-04-01,1
Kelantan,2021-05-01,5
Kelantan,2021-06-01,2
Kelantan,2021-07-01,3
Kelantan,2021-08-01,38
Kelantan,2021-09-01,13
Kelantan,2021-10-01,26
Kelantan,2021-11-01,18
Kelantan,2021-12-01,22
Kelantan,2022-01-01,32
Kelantan,2022-02-01,45
Kelantan,2022-03-01,93
Kelantan,2022-04-01,37
Kelantan,2022-05-01,28
Kelantan,2022-06-01,71
Kelantan,2022-07-01,19
Kelantan,2022-08-01,87
Kelantan,2022-09-01,138
Kelantan,2022-10-01,236
Kelantan,2022-11-01,95
Kelantan,2022-12-01,88
Kelantan,2023-01-01,62
Kelantan,2023-02-01,36
Kelantan,2023-03-01,53
Kelantan,2023-04-01,40
Kelantan,2023-05-01,37
Kelantan,2023-06-01,54
Kelantan,2023-07-01,43
Kelantan,2023-08-01,46
Kelantan,2023-09-01,101
Kelantan,2023-10-01,88
Kelantan,2023-11-01,44
Kelantan,2023-12-01,85
Kelantan,2024-01-01,44
Kelantan,2024-02-01,26
Kelantan,2024-03-01,19
Kelantan,2024-04-01,36
Kelantan,2024-05-01,54
Kelantan,2024-06-01,31
Kelantan,2024-07-01,52
Kelantan,2024-08-01,101
Kelantan,2024-09-01,107
Kelantan,2024-10-01,9
Melaka,2009-01-01,0
Melaka,2009-02-01,0
Melaka,2009-03-01,0
Melaka,2009-04-01,0
Melaka,2009-05-01,0
Melaka,2009-06-01,0
Melaka,2009-07-01,0
Melaka,2009-08-01,3
Melaka,2009-09-01,0
Melaka,2009-10-01,1
Melaka,2009-11-01,2
Melaka,2009-12-01,6
Melaka,2010-01-01,34
Melaka,2010-02-01,19
Melaka,2010-03-01,12
Melaka,2010-04-01,16
Melaka,2010-05-01,12
Melaka,2010-06-01,41
Melaka,2010-07-01,46
